Hazard Leopard Team Member Leading,Phase of Hazards Project,IPCC CID Category for Reference Only,Climate Hazard,Hazard Definition and Climate Change Effects on Drivers,Sector,Project Tags,IPCC CID for Reference Only,Finer Resolution Categories,Climate Variable Categories,Confidence in the Projected Hazard Data,Identified Climate Proxies for this Hazard,Technical Description of the Proxy,What is the Connection Between the Proxy and the Hazard?,What are the Change Dimensions Indicated by the Proxy?,How Well Does the Proxy Represent the Hazard?,What Is the Level of Confidence in the Direction of the Proxy?,What Is the Level of Confidence in the Magnitude of the Proxy? ,,What Is the Data Resolution?,Datasets Technical Documentation,Access to the Data Portal,"Data ""Readiness""",Data Citations,Data Source Evaluation Against CCCS Data Standards,CCCR Link,Overall Trend for the Hazard by 2100,,End-User Type,General Comments,Expert Reviewer,
Carly,Phase 1.1,Coastal,Ocean - Marine heatwave,"Mechanisms and drivers
Marine heatwaves are events where temperatures are unusually high for an extended period (an event where temperatures exceed the 90th percentile of 30-year historic values for five or more days in a row). MHWs can be induced by anomalous ocean heating at the ocean surface (caused by changes in air temperature, winds or cloud cover, for example), or as a result of horizontal or vertical currents and mixing in the surrounding ocean.

The role of climate change
A correlation also exists between natural climate variability and the occurrence and intensity of marine heatwaves. For example, the “El Niño” phenomenon appears to enhance the emergence of marine heatwaves in the central and eastern regions of the Pacific Ocean. 
The information we are able to present as a proxy for marine heatwaves on ClimateData.ca is only able to reflect the impacts of marine heatwaves caused by sea surface temperature changes and does not reflect the processes that may lead to deeper marine heatwaves. 
Future projections of marine heatwaves must also take into account the shifting baseline of ocean temperatures, which will become increasingly warmer into the future and may cause a misrepresentation of marine heatwaves in the future. ",General,,marine heatwave,N/A,Sea Surface Temperature,,Sea Surface Temperature,"Sea surface temperature (SST) is defined as the temperature of the top few millimeters of the ocean. This temperature directly or indirectly  impacts the rate of all physical, chemical, and most biological processes occurring in the ocean","One of the main climatic driver for marine heat waves is increasing sea  temperatures. Marine heatwave intensity, severity, and frequency are all dependent on sea surface temperature. Marine heatwaves can have severely negative consequences for marine life who are highly sensitive to changes in ocean temperatures. ",Intensity and duration ,medium,medium,medium,CMIP5/6,1x1° (~110x110 km),,CCDS,Research Grade,,,,More frequent and intense,,,"Marine Heatwaves | National Marine Ecosystem Status (noaa.gov)
1708456179.pdf (libraryh3lp.com)
https://www.nature.com/articles/s41558-023-01790-6",Possibly colleagues of Eva's,
Teah,Phase 1.1,Coastal,Ocean - Marine/Coastal fog/Ice Fog,"Mechanisms and drivers
Marine and coastal fog is a dense mass of water droplets or ice crystals (a cloud) suspended in the air near the Earth's surface that forms when moist air cools to the point of condensation. Marine and coastal fog primarily develop when warm, humid air is cooled and moved horizontally (advected) over a colder sea surface such as a cold ocean current or cold landmass. As the warm air cools upon contact with the cooler surface, the moisture in the air condenses to form fog, this is known as advection fog. 

A second type of fog, sea smoke, or evaporation fog, forms when cold air moves over warmer seawater. In this case moisture evaporates from the sea surface and saturates the air. As the air is cold, excess moisture condenses to form fog. During the summer, fog often will develop over an ice pack or ice-covered waters. It is believed that this type of fog forms when melt-water on the ice surface warms, saturates the air, and condenses to produce fog.

Fog's visibility can vary from a slight haze to dense conditions where visibility is significantly reduced. The specific conditions required for fog formation depend on factors such as temperature, humidity, and the presence of condensation nuclei (particles in the air around which water vapor can condense). How fog is created is not deeply understood, which is one reason fog can only be predicted only a few hours in advance, if at all.

Off the Atlantic coast, warm air masses moving north with the Gulf Stream are cooled when they encounter the cold Labrador Current, producing dense fogs along the Grand Banks off Newfoundland and south of Nova Scotia. As the air mass is cooled from below, a strong inversion is created (colder air is trapped below the warmer air) causing the fog to persist.The Atlantic fog season reaches its maximum in July. Over the Pacific Ocean, this kind of fog is less common because the temperature difference between air mass and ocean temperature is not as great. Fog typically blows over adjacent land at night, burning off during the day.",General,,,Coastal Fog,"Compound: Sea surface temperature, Air temperature, Relative Humidty, Wind Speed","Tier 4: Not Applicable - Early stages of modelling and analysis, next steps and/or experiments proposed to advance scientific understanding","Sea surface temperature, Air temperature, Relative Humidty, Wind Speed",The temperature of the sea at the surface (tos). In K,"NARRATIVE to be cleaned up:   Sea-surface temperature (SST) plays a crucial role in air–sea interaction processes. Due to its great spatial and temporal variability, resulting from complex physical processes on multiple scales, fog is particularly difficult to predict. 

Changes in marine fog can be well explained by large-scale circulation changes. A small increase in surface air temperature and an increase in RH contribute to the early advection fog onset, and vice versa. (https://doi.org/10.1007/s11707-022-1002-5)

If the mixing of the warmer air with the colder air produces a relative humidity of 100% then fog can form. Considering air that is saturated, as the temperature increases the amount of moisture in the air increases at an increasing rate. Warm air that is near saturation will saturate quickly when it is mixed with cold saturated air. This is because the amount of moisture in the air from mixing the air is greater than the amount of moisture needed for saturation at the temperature of the mixed air. The air, instead of supersaturating, will produce condensation in the form of fog.
 (https://www.weather.gov/source/zhu/ZHU_Training_Page/fog_stuff/forecasting_fog/FORECASTING_FOG.htm#:~:text=As%20air%20cools%20the%20temperature,increases%20at%20an%20increasing%20rate.)",,poor,Low,Low,CMIP5/6,1x1° (~110x110 km),,,Research Grade,,,,,,,"https://link.springer.com/article/10.1007/s10546-021-00662-w

Patrick Duplessis (Ex. CCCS student): https://ui.adsabs.harvard.edu/abs/2020EGUGA..2212591D/abstract",,
Jeremy,Phase 1,Open Ocean,Ocean - Salinity,"Mechanisms and drivers
The ocean is a key component of the Earth’s water cycle and changes in the rates of evaporation and precipitation are reflected in the relative freshness or salinity of the ocean surface water. Salinity can also change in response to freshwater runoff from the continent, melting and freezing of sea ice, and ocean circulation and mixing. Changes near the sea surface affect the ocean interior (intermediate and deep layers) through processes such as vertical mixing and deep convection. Ocean salinity, together with temperature and pressure (depth), determines the density of seawater, which, in turn, affects ocean circulation, vertical density stratification, and vertical mixing. [CCCR2019]",General,,ocean salinity,N/A,Sea Surface Salinity,,Sea Surface Salinity,,,,Good ,,,CMIP5/6,1x1° (~110x110 km),,CCDS,,,,"CCCR 2019 Ch 7: Changes in Oceans Surrounding Canada
Regional Perspectives (BC, North, Atlantic)","CCCR 2019 Ch 7.3 Key Message: There has been a slight long-term freshening of upper-ocean waters in most areas off Canada as a result of various factors related to anthropogenic climate change, in addition to natural decadal-scale variability (medium confidence). Salinity has increased below the surface in some mid-latitude areas, indicating a northward shift of saltier subtropical water (medium confidence).",,,,,
Ryan,Phase 1,Open Ocean,Ocean - Temperature,"Mechanisms and drivers
The ocean absorbs incoming radiation from the sun and greenhouse gases in the atmosphere, and stores it as heat in its upper layers, some of which eventually spreads to deeper waters. Water has a much higher heat capacity than air, meaning the ocean can absorb larger amounts of heat energy with smaller increases in temperature. Regionally, SST is also influenced by other dominant modes of natural climate variability, such as the Atlantic Multi-decadal Oscillation, the North Atlantic Oscillation, and the Pacific Decadal Oscillation. These variability modes generally involve large-scale patterns in atmospheric and/or oceanic circulation, which result in changes in surface winds over the ocean and transfers of heat across the air-sea interface.

Similar to global mean combined air and sea surface temperature (see Chapter 2, Section 2.2.1), SST also shows a multi-decadal variation related to changes in greenhouse gas and aerosol emissions and to natural internal climate variability, and shorter-term variations mainly due to volcanic eruptions and El Niño and La Niña events. Regionally, SST is also influenced by other dominant modes of natural climate variability, such as the Atlantic Multi-decadal Oscillation, the North Atlantic Oscillation, and the Pacific Decadal Oscillation. These variability modes generally involve large-scale patterns in atmospheric and/or oceanic circulation, which result in changes in surface winds over the ocean and transfers of heat across the air-sea interface
 (CCCR 2019)",General,,mean ocean temperature,N/A,Sea Surface Temperature,,Sea Surface Temperature,,"The ocean absorbs incoming radiation from the sun and greenhouse gases in the atmosphere, and stores it as heat in its upper layers, some of which eventually spreads to deeper waters. Water has a much higher heat capacity than air, meaning the ocean can absorb larger amounts of heat energy with smaller increases in temperature. Because it takes centuries for upper-ocean heat changes to spread to abyssal depths everywhere, the vertical extent of warming in the ocean is much less than in the lower atmosphere. [CCCR2019]",,Good ,,,CMIP5/6,1x1° (~110x110 km),,CCDS,Coming in the next year,,,"CCCR 2019 Ch 7: Changes in Oceans Surrounding Canada
Regional Perspectives (BC, North, Atlantic)",Warming,,,,,
Teah,Phase 1,Snow and Ice,Permafrost,"Mechanisms and drivers
Permafrost is defined as subsurface material with temperatures continuously below 0°C for two or more years. It covers roughly half of Canada, with continuous permafrost prevalent north of the boreal tree line and discontinuous permafrost to the south. There are complex relationships between air temperatures, soil properties, ground cover such as vegetation, and snow cover (due to snow’s insulating properties) that influence permafrost characteristics. Permafrost conditions are also linked to hydrological (e.g., drainage) and land surface processes (e.g., erosion and slope movements). There are many different aspects to permafrost such as it's degradation, thawing, heaving, active layer thickening, thermokarsts, thaw slumps, alas and more. 

The role of climate change
Climate change can affect mean air temperature over land underlain with permafrost. The Arctic is warming 4x as fast as the rest of the globe. The warming of the Arctic and other climate change impacts are thawing vast stretches of permafrost, creating a feedback loop that is accelerating global warming. This warmer air temperature is, in turn, heating up the ground and thawing the top layer of permafrost. Climate change is also affecting parts of the Arctic in other ways — like increasing wildfires — that further thaw permafrost. Some permafrost found in parts of northern Canada contains a lot of ice. When it thaws, the land shifts, forming depressions where water pools, creating what scientists call “thermokarst lakes.” This pooling of water accelerates more thawing, with as much as several meters of soil becoming less stable in just a few weeks.","General, Infrastructure",CCCR2025,Permafrost,N/A,Ground Ice,"Tier 3: Low - Low agreement about direction and/or amount of change, high noise to signal ratio  ",Ground Ice,,"Ground ice is a key geomorphic agent in permafrost environments, and its formation is associated with characteristic landforms including ice-wedge polygons (Fraser et al., 2018; Lachenbruch, 1962); peat plateaus, palsas, and lithalsas (Laberge and Payette, 1995; Wolfe et al., 2014; Zoltai, 1972); earth hummocks (Kokelj et al., 2007b); involuted hills (Mackay and Dallimore, 1992); and pingos (Mackay, 1973). The degradation of ice-rich permafrost initiates geomorphic processes including thaw subsidence, slumping, active-layer detachment sliding, thaw lake development, and thermal erosion gullying (Kokelj and Jorgenson, 2013).",,,,,,,,,,https://tc.copernicus.org/articles/13/753/2019/,,"Health in a Changing Climate (2022)
•	Ch 3.11: Landslides, Avalanches and Thawing Permafrost

Regional Perspectives Report (2020-2022)
•	Ch 6.2.1.1 Permafrost
•	Northern Ch 6.4 Safe travel in the North is threatened by climate change

National Issues Report (2021)
•	Discussed in multiple chapters
•	Ch 5.3.2: Northern regions

Canada’s Changing Climate Report (2019)
•	Ch 2.2.4: Changes in the cryosphere
•	Ch 5.6: Permafrost",,,,,,
Teah,Phase 1,Snow and Ice,Permafrost,"<b> Mechanisms and Drivers </b>
Permafrost is ground – soil, sediment, or rock – with a temperature below 0°C for at least two years, prevalent in Canada’s northern regions. There are complex relationships between air temperatures, soil properties, ground cover such as vegetation, and snow cover (due to snow’s insulating properties) that influence permafrost characteristics. Permafrost conditions are also linked to hydrological (e.g., drainage) and land surface processes (e.g., erosion and slope movements).
<b> Role of Climate Change </b>
Climate change is warming the Arctic at an accelerated rate, leading to permafrost thaw, which destabilizes landscapes and releases stored carbon.","General, Infrastructure","DST, CCCR2025",Permafrost,N/A,Permafrost Extent,"Tier 3: Low - Low agreement about direction and/or amount of change, high noise to signal ratio  ",Permafrost Extent (Surface Frost Index - SFI),"This proxy represents an indirect measure of permafrost sustainability based on surface climate conditions, particularly temperature and snow depth. It classifies areas as continuous, discontinuous, sporadic, or isolated permafrost.
Caution Note: Currently, there is no single, compound proxy that adequately captures Permafrost. Surface Frost Index is based on surface-level conditions and does not account for deeper soil layers, which introduces some uncertainty.","Under all emission scenarios will result in permafrost warming and thawing across large areas of Canada by the middle of the 21st century with impacts on northern infrastructure and the carbon cycle. This is the expected permafrost response to the high probability of increased surface temperature across Arctic land areas, with additional factors such as changes to snow cover, surface wetness, vegetation, and disturbance also influencing permafrost conditions. Confidence in projected permafrost changes from climate model simulations is affected by inadequate representation of soil properties (including ice content) and uncertainties in understanding the response of deep permafrost. [CCCR 2019 CH5.7 Summary]

Different approaches can be used to evaluate the potential impact of continued global warming on permafrost. One often used approach relies on projected changes in soil temperatures simulated by fully coupled atmosphere-ocean-land-sea ice GCMs. Another approach is to employ indirect near-surface permafrost indices that are derived from surface climate valuables such as surface temperature and snow depth. The surface frost index (SFI) is an indirect approach that has been successfully used to evaluate the sustainability of near-surface permafrost under scenarios of climate change. Given the level of uncertainty in direct simulation of permafrost extent in climate models, as well as the unavailability of archived soil temperature information from CanRCM4 LE, the simple SFI approach was used to produce CanRCM4 based projections of future permafrost extent. 

Based on the SFI approach, CanRCM4 LE projects substantial decreases in future near-surface permafrost extent over northern North America. There is very high confidence in the future reduction of near-surface permafrost areas in Canada. 

Nevertheless, there is very low confidence in the magnitude of reduction of projected changes from CanRCM4 LE and in where and when transitions between continuous, discontinuous, sporadic and isolated patches permafrost zones will occur. A key reason for this low level of confidence is uncertainty in the simulation of the baseline permafrost distribution over Canada, which is affected by model biases, and limitations of the SFI approach that considers only surface climate information to diagnose near-surface permafrost status.",,Moderate,Good ,low,CRBCPI/DVE data,0.44x0.1° (~50x50 km),,CRBCPI/PCIC's Design Value Explorer,Currently Available,,,"Health in a Changing Climate (2022)
•	Ch 3.11: Landslides, Avalanches and Thawing Permafrost

Regional Perspectives Report (2020-2022)
•	Ch 6.2.1.1 Permafrost
•	Northern Ch 6.4 Safe travel in the North is threatened by climate change

National Issues Report (2021)
•	Discussed in multiple chapters
•	Ch 5.3.2: Northern regions

Canada’s Changing Climate Report (2019)
•	Ch 2.2.4: Changes in the cryosphere
•	Ch 5.6: Permafrost",,,,,,"Permafrost thaw poses risks to buildings and infrastructure in northern regions, where thawing ground can lead to uneven ground setting and structural instability. Thawing ground can compromise building foundations, structure, and critical systems."
Teah,Future Phase,Wind,Sand and dust storm,"Sand and dust storms (SDS) are atmospheric events created when small particles are blown from land surfaces. SDS occur when strong, turbulent winds flow over dry, unconsolidated, fine-grained surface materials where vegetation cover is sparse and sometimes altogether absent. These conditions are most commonly found in the world’s drylands—deserts and semi-deserts—and hence this is where SDS are most frequent. Sand storms occur within the first few meters above the ground surface, but finer dust particles can be lifted much higher into the troposphere, where strong winds frequently transport them over great distances. In already arid climates, higher temperatures lead to more evaporation, drier soils, and less vegetation.

Wind erosion also continues to be an issue during recurrent drought periods in the Canadian Prairie Provinces of Alberta, Saskatchewan and Manitoba but there was a detected region-wide threshold change in dustiness after 1990 that has been attributed to changes in farming practices, at least in part a result of numerous initiatives—both government and private non-profit—promoting soil conservation techniques in the 1980s",,,,,SPEI,"Tier 2: Medium - Agreement about direction of change, uncertainty about amount of change",SPEI,,Droughts generally increase the risk of dust storms. Climate change drivers of drought such as increased temperatures mean that future possible droughts are expected to be worse than those of the instrumental period. See the various kinds of Droughts for more information.,,,,,,,,,,,,,,,"Data is available as static maps from CRBCIP, however could potentially be made more accessible. ",,,
Carly,Phase 1.1,Snow and Ice,Sea ice - Drift ice,"Mechanisms and drivers
Term used in a wide sense to include any area of sea ice, other than fast ice, no matter what form it takes or how it is disposed. When concentrations are high, that is, 7/10 or more, drift ice may be replaced by the term pack ice. Drift ice is moved by wind and sea currents.",General,,"Lake, river and sea ice",N/A,No Climate Variable- see definition ,N/A,"NA, Narrative",NA,"There are no accurate/reliable climate variables/proxies we can provide to help guide decision-making processes in the risks attributed to landfast ice and drift ice due to the lack of standardized approach for the measurement of the extent of these sea ice forms. For information on general sea ice climate proxies, please see the section on sea ice thickness and extent.  ",,N/A,N/A,N/A,CMIP5/6,N/A,,N/A,,,,"Canada’s Changing Climate Report (2019)
•	 5.4: Sea ice","Thinning thickness, declinining cover/extent, dissapearing in the summer",,,,,
Carly,Phase 1.1,Snow and Ice,Sea ice - Land fast ice,"Mechanisms and drivers
Land-fast ice is sea ice that is attached to the coastline, sea floor along shoals, or to grounded icebergs. 
This form of ice can either grow in place from the freezing of sea water, or by the freezing of pieces of drifting ice to the shore or other anchor sites. Fast ice does not move with currents and/or wind. 
Formation and growth of sea ice depends on the air temperature falling below freezing (0 °C) and subsequent lowering of sea surface temperatures. Sea-ice growth usually starts sometime after freezing air temperatures are achieved because the freezing point for sea water is near -1.8 °C. In addition, warmer water from within the ocean may reduce the effect of freezing air temperatures on the surface water, further delaying ice growth. 
Land-fast ice is the most accessible form of sea ice, and the type most often encountered by people (members of arctic coastal communities travel across land-fast ice to hunt marine mammals and birds that are commonly found at its seaward edge). ",General,,"Lake, river and sea ice",N/A,No Climate Variable- see definition ,N/A,"NA, Narrative",NA,"There are no accurate/reliable climate variables/proxies we can provide to help guide decision-making processes in the risks attributed to landfast ice and drift ice due to the lack of standardized approach for the measurement of the extent of these sea ice forms. For information on general sea ice climate proxies, please see the section on sea ice thickness and extent.  ",,N/A,N/A,N/A,CMIP5/6,N/A,,N/A,,,,"Canada’s Changing Climate Report (2019)
•	 5.4: Sea ice","Thinning thickness, declinining cover/extent, dissapearing in the summer",,,,,
,Future Phase,Snow and Ice,Sea ice concentration (proposed),,,,,,Sea Ice,"Tier 2: Medium - Agreement about direction of change, uncertainty about amount of change",Sea ice concentration,"Sea ice concentration (Percentage, %, of grid cell area)
Projected change in sea ice concentration (%)",,,,,,,,,,,,,,,,,,,
,Future Phase,Snow and Ice,Sea ice extent (proposed),,,,,,Sea Ice,,Sea ice extent,Sea ice extent is the total region with at least 15 percent sea ice cover.,,,,,,,,,,,,,,,,,,,
Jeremy,Phase 1,Coastal,"Sea Level Rise, Storm Surge and Coastal Flooding","<b> Mechanisms and Drivers </b>
Coastal flooding occurs due to extreme high sea levels resulting from the combined effects of storm surge, wind-driven waves, and high tides. Storm surges arise from wind and atmospheric pressure changes that push water toward coastlines, while ocean tides and wave heights vary with local topography and weather.
<b> Role of Climate Change </b>
Climate change affects coastal flooding by raising baseline sea levels, driven by factors such as melting ice sheets, thermal expansion of ocean water, and changes in regional ocean circulation. In some regions, vertical land motion (e.g., land uplift in Canada’s Arctic) can counteract sea level rise. However, overall, rising sea levels amplify the risks of coastal flooding when combined with storm events.",General,"DST, CCCR2025",Coastal flood,N/A,Sea Level Rise,"Tier 2: Medium - Agreement about direction of change, uncertainty about amount of change",Relative Sea Level Change,"This proxy represents the combination of the effects from global sea-level change (from factors like ice melt and thermal expansion) and the vertical motion of the land. The relative sea level change is essential for assessing storm surge risks as higher sea levels raise the baseline for storm-driven flooding from Hurricanes. 
Caution Note: This proxy does not include storm surge itself but provides a baseline for understanding potential flood severity for coastal regions.","Relative sea level change captures the climate change impact on average ocean levels via changes in ice sheets, thermal expansion, and changing ocean circulation.  It also integrates changes in vertical land motion estimates developed by GSC.  However, it does not consider any measure of extreme water level, either in terms of historical conditions or future change.  Thus, this data represents changes in 'baseline' sea level, but not extreme sea level.  So some significant distance remains between the data as a proxy for coastal flooding, and explicit coastal flooding hazard.  In this sense, it is analagous to how average annual temperature compares with more impact-relevant extreme high temperature metrics.",,Moderate,High,Moderate,Sea level change, 0.1x0.1 ° (~11 km latitude x 2-8 km longitude),,ClimateData.ca,Currently Available,,,"Health in a Changing Climate (2022)
•	Ch 3.10 Floods, Coastal Flooding, and Coastal Erosion

Regional Perspectives Report (2020-2022)
•	Atlantic Ch 1.2 Infrastructure is being threatened by increased flooding and erosion
•	Quebec Ch 2.5.3 Increasing sea level, erosion and submergence
•	British Columbia Ch 5.3.2.2 Coastal flooding

National Issues Report (2021)
•	Discussed in multiple chapters
•	Case Story 3.3: Adapting to transportation and service disruption in Nova Scotia’s ageing communities
•	Box 4.1: Flood management in Canada
•	Ch 5.3.5 Coastal regions
•	Case Story 6.4: Managing uncertainty in the appraisal of adaptation options for addressing sea-level rise in London, UK

Canada’s Changing Climate Report (2019)
•	Ch 7.5 Sea level
•	Box 7.5: Storm surge flooding",Increasing,,,,Tom James [Teah: should Blair Greenan also be here?],"Sea Level Rise pose risks to buildings, particularly in coastal areas. Flooding, coastal erosion, and saltwater intrusion can compromise structural stability of buildings, impacting basements, foundations, and interior spaces."
Jeremy,Phase 1,Coastal,"Sea Level Rise, Storm Surge and Coastal Flooding","<b> Mechanisms and Drivers </b>
Coastal flooding occurs due to extreme high sea levels resulting from the combined effects of storm surge, wind-driven waves, and high tides. Storm surges arise from wind and atmospheric pressure changes that push water toward coastlines, while ocean tides and wave heights vary with local topography and weather.
<b> Role of Climate Change </b>
Climate change affects coastal flooding by raising baseline sea levels, driven by factors such as melting ice sheets, thermal expansion of ocean water, and changes in regional ocean circulation. In some regions, vertical land motion (e.g., land uplift in Canada’s Arctic) can counteract sea level rise. However, overall, rising sea levels amplify the risks of coastal flooding when combined with storm events.",General,"DST, CCCR2025",Coastal flood,N/A,Vertical Allowance,"Tier 2: Medium - Agreement about direction of change, uncertainty about amount of change",Vertical Allowance,"This proxy represents the height above regional mean sea level that is considered relatively low-risk for infrastructure development. Vertical allowance is similar to the relative sea level change proxy, but with the added benefit of also including the vertical differential from tides and storms. 
Caution Note: This data is currently only provided at point locations in Canada. This proxy is relatively closer to coastal flooding in terms of proxy proximity, than relative sea level change, but is limited by its reliance on historical tides and storm surge data and exclusion of future wave height changes.","Vertical allowance values from this dataset is relatively closer to coastal flooding in terms of proxy proximity, than relative sea level change, because it includes the vertical offset related to tides and storm surge (albeit, only historical estimates of these).  ",,Good ,High,Moderate,Can-EWLAT,0.44x0.1° (~50x50 km),https://climate-scenarios.canada.ca/?page=buildings-report#,CAN-EWLAT (Canadian Extreme Water Level Adaptation Tool),Currently Available,,,"Health in a Changing Climate (2022)
•	Ch 3.10 Floods, Coastal Flooding, and Coastal Erosion

Regional Perspectives Report (2020-2022)
•	Atlantic Ch 1.2 Infrastructure is being threatened by increased flooding and erosion
•	Quebec Ch 2.5.3 Increasing sea level, erosion and submergence
•	British Columbia Ch 5.3.2.2 Coastal flooding

National Issues Report (2021)
•	Discussed in multiple chapters
•	Case Story 3.3: Adapting to transportation and service disruption in Nova Scotia’s ageing communities
•	Box 4.1: Flood management in Canada
•	Ch 5.3.5 Coastal regions
•	Case Story 6.4: Managing uncertainty in the appraisal of adaptation options for addressing sea-level rise in London, UK

Canada’s Changing Climate Report (2019)
•	Ch 7.5 Sea level
•	Box 7.5: Storm surge flooding",Increasing,,ClimateData.ca,,Tom James [Teah: should Blair Greenan also be here?],"Coastal Flooding pose risks to buildings, particularly in coastal areas. Flooding, coastal erosion, and saltwater intrusion can compromise structural stability of buildings, impacting basements, foundations, and interior spaces."
Jeremy,Phase 1,Coastal,"Sea Level Rise, Storm Surge and Coastal Flooding","<b> Mechanisms and Drivers </b>
Coastal flooding occurs due to extreme high sea levels resulting from the combined effects of storm surge, wind-driven waves, and high tides. Storm surges arise from wind and atmospheric pressure changes that push water toward coastlines, while ocean tides and wave heights vary with local topography and weather.
<b> Role of Climate Change </b>
Climate change affects coastal flooding by raising baseline sea levels, driven by factors such as melting ice sheets, thermal expansion of ocean water, and changes in regional ocean circulation. In some regions, vertical land motion (e.g., land uplift in Canada’s Arctic) can counteract sea level rise. However, overall, rising sea levels amplify the risks of coastal flooding when combined with storm events.",General,"DST, CCCR2025",Coastal flood,N/A,Extreme sea level,"Tier 2: Medium - Agreement about direction of change, uncertainty about amount of change",Extreme Water Levels (Storm Surge and Waves),"This proxy represents the potential impacts of climate change on storm surges and waves, showing potential changes in frequency and magnitude. This dataset in principle includes all key components for determining the vertical level of coastal flooding.","This dataset in principle includes all key components for determining the vertical level of coastal flooding (minus the extent of inland inundation, for which detailed coastal digitial elevation and hydraulic modelling is required).  However, future estimates of coastal flooding are limited to the Pacific coast at present (February 2024) ",,Good ,High,Moderate,Canadian Coastal Climate Risk Information System,,,Canadian Coastal Climate Risk Information System: Canadian Coastal Climate Risk Information System,Currently Available,,,"Health in a Changing Climate (2022)
•	Ch 3.10 Floods, Coastal Flooding, and Coastal Erosion

Regional Perspectives Report (2020-2022)
•	Atlantic Ch 1.2 Infrastructure is being threatened by increased flooding and erosion
•	Quebec Ch 2.5.3 Increasing sea level, erosion and submergence
•	British Columbia Ch 5.3.2.2 Coastal flooding

National Issues Report (2021)
•	Discussed in multiple chapters
•	Case Story 3.3: Adapting to transportation and service disruption in Nova Scotia’s ageing communities
•	Box 4.1: Flood management in Canada
•	Ch 5.3.5 Coastal regions
•	Case Story 6.4: Managing uncertainty in the appraisal of adaptation options for addressing sea-level rise in London, UK

Canada’s Changing Climate Report (2019)
•	Ch 7.5 Sea level
•	Box 7.5: Storm surge flooding",,,,,Tom James [Teah: should Blair Greenan also be here?],"Storm surge and waves pose risks to buildings, particularly in coastal areas. Flooding, coastal erosion, and saltwater intrusion can compromise structural stability of buildings, impacting basements, foundations, and interior spaces."
Jeremy,Phase 1,Coastal,"Sea Level Rise, Storm Surge and Coastal Flooding","Mechanisms and drivers
Coastal flooding occurs due to extreme high sea levels.  These high sea level events occur when storm surge (wind and pressure-driven driven doming of water against coastlines), large wind-driven waves, and high ocean tides combine.

The role of climate change
Coastal flooding can be impacted by climate change as local relative sea level changes the baseline upon which extreme high sea level events are superimposed.  Different factors can operate in different directions of change.  Over timescales relevant to Canadian climate services, local relative average sea level will rise due to local ocean water level changes, which stem from melting ice sheets and glaciers, thermal expansion of ocean waters, and secondarily, regional ocean circulation changes, and changes in the amount of water stored on land (e.g. dams, reservoirs and groundwater).   Local sea level, particularly in Canada's Northeast Arctic, is and will be additionally impacted by the loss of Greenland ice, which reduces local gravitational attraction and thus will cause regional sea level reductions.  Average sea level in the Canadian context is also impacted by ongoing vertical land motions.  This is particularly important in Canada's Arctic, where land is currently rebounding from the loss of ice from the last ice age.  In this region, upwards vertical land motion may be greater than upwards water level trends, causing net sea level drop.

Climate change will also cause changes to marine storms responsible for storm surge and wave impacts, although these changes are uncertain at present.

Primary general resources: 
- Durand et al., 2022.  Sea-Level Rise: From Global Perspectives to Local Services, Frontiers in Marine Science, https://www.frontiersin.org/articles/10.3389/fmars.2021.709595/full
- James et al., 2021.  Relative sea-level projections for Canada based on the IPCC Fifth Assessment Report and the NAD83v70VG national crustal velocity model.  GEOLOGICAL SURVEY OF CANADA OPEN FILE 8764, https://doi.org/10.4095/327878.
- Coustineau et al., 2022: Numerical Investigation of Climate Change Effects on Storm Surges and Extreme Waves on Canada’s Pacific Coast.  https://doi.org/10.3390/atmos13020311",General,CCCR2025,Coastal flood,N/A,Wave Height?   ,"Tier 2: Medium - Agreement about direction of change, uncertainty about amount of change",,,,,,,,,,,https://cccris.ca/,,,,"Health in a Changing Climate (2022)
•	Ch 3.10 Floods, Coastal Flooding, and Coastal Erosion

Regional Perspectives Report (2020-2022)
•	Atlantic Ch 1.2 Infrastructure is being threatened by increased flooding and erosion
•	Quebec Ch 2.5.3 Increasing sea level, erosion and submergence
•	British Columbia Ch 5.3.2.2 Coastal flooding

National Issues Report (2021)
•	Discussed in multiple chapters
•	Case Story 3.3: Adapting to transportation and service disruption in Nova Scotia’s ageing communities
•	Box 4.1: Flood management in Canada
•	Ch 5.3.5 Coastal regions
•	Case Story 6.4: Managing uncertainty in the appraisal of adaptation options for addressing sea-level rise in London, UK

Canada’s Changing Climate Report (2019)
•	Ch 7.5 Sea level
•	Box 7.5: Storm surge flooding",,,,,Tom James [Teah: should Blair Greenan also be here?],
Pouriya,Future Phase,Snow and Ice,Snow avalanche,,,,snow avalanche,N/A,Snow accumulation,,Snow accumulation,,,,Good ,,,,,,,,,,"Health in a Changing Climate (2022)
• Ch. 3.11 Landslides, Avalanches, and Thawing Permafrost
• Table 10.5 Canadian health facility vulnerabilities to climate change hazards

National Issues Report (2021)
• Ch. 5.3.3 Mountain regions

Canada’s Changing Climate Report (2019)
• Mentioned in Ch. 5.1.",,,,,,
